"","value","Year","IZCode","IZName","CPP","Indicator","Type"
"138",5.77,"2011/12-2013/14","S02001978","Lochaber West","Highland","Attainment","Raw"
"139",4.83,"2011/12-2013/14","S02001977","Drumry West","Glasgow City","Attainment","Raw"
"140",4.96,"2011/12-2013/14","S02001972","Blairdardie East","Glasgow City","Attainment","Raw"
"141",5.15,"2011/12-2013/14","S02001971","Anniesland West","Glasgow City","Attainment","Raw"
"142",4.86,"2011/12-2013/14","S02001974","Drumchapel South","Glasgow City","Attainment","Raw"
"143",5.49,"2011/12-2013/14","S02001973","Blairdardie West","Glasgow City","Attainment","Raw"
"144",5.92,"2011/12-2013/14","S02001952","Kelvingrove and University","Glasgow City","Attainment","Raw"
"145",5.66,"2011/12-2013/14","S02001951","North Kelvin","Glasgow City","Attainment","Raw"
"146",5.03,"2011/12-2013/14","S02001954","Glasgow Harbour and Partick South","Glasgow City","Attainment","Raw"
"147",5.36,"2011/12-2013/14","S02001953","Hillhead","Glasgow City","Attainment","Raw"
"148",5.13,"2011/12-2013/14","S02001948","Maryhill West","Glasgow City","Attainment","Raw"
"149",4.99,"2011/12-2013/14","S02001947","Maryhill East","Glasgow City","Attainment","Raw"
"150",6.14,"2011/12-2013/14","S02001950","Kelvindale","Glasgow City","Attainment","Raw"
"151",5.13,"2011/12-2013/14","S02001949","Wyndford","Glasgow City","Attainment","Raw"
"152",6.16,"2011/12-2013/14","S02001960","Victoria Park","Glasgow City","Attainment","Raw"
"153",6.05,"2011/12-2013/14","S02001959","Broomhill","Glasgow City","Attainment","Raw"
"154",5.7,"2011/12-2013/14","S02001962","Scotstoun North and East","Glasgow City","Attainment","Raw"
"155",4.81,"2011/12-2013/14","S02001961","Whiteinch","Glasgow City","Attainment","Raw"
"156",6.12,"2011/12-2013/14","S02001956","Partickhill and Hyndland","Glasgow City","Attainment","Raw"
"157",5.48,"2011/12-2013/14","S02001955","Partick","Glasgow City","Attainment","Raw"
"158",6.29,"2011/12-2013/14","S02001958","Kelvinside and Jordanhill","Glasgow City","Attainment","Raw"
"159",6.23,"2011/12-2013/14","S02001957","Dowanhill","Glasgow City","Attainment","Raw"
"160",5.91,"2011/12-2013/14","S02001999","Inverness Crown and Haugh","Highland","Attainment","Raw"
"161",5.32,"2011/12-2013/14","S02001998","Inverness Central, Raigmore and Longman","Highland","Attainment","Raw"
"162",5.69,"2011/12-2013/14","S02002001","Inverness Muirtown","Highland","Attainment","Raw"
"163",4.88,"2011/12-2013/14","S02002000","Inverness Ballifeary and Dalneigh","Highland","Attainment","Raw"
"164",5.4,"2011/12-2013/14","S02001995","Inverness Drummond","Highland","Attainment","Raw"
"165",5.94,"2011/12-2013/14","S02001994","Inverness Lochardil and Holm Mains","Highland","Attainment","Raw"
"166",6.01,"2011/12-2013/14","S02001997","Inverness Drakies","Highland","Attainment","Raw"
"167",5.22,"2011/12-2013/14","S02001996","Inverness Hilton","Highland","Attainment","Raw"
"168",5.8,"2011/12-2013/14","S02002007","Lochalsh","Highland","Attainment","Raw"
"169",5.76,"2011/12-2013/14","S02002006","Loch Ness","Highland","Attainment","Raw"
"170",5.69,"2011/12-2013/14","S02002009","Skye North East","Highland","Attainment","Raw"
"171",5.81,"2011/12-2013/14","S02002008","Skye South","Highland","Attainment","Raw"
"172",5.54,"2011/12-2013/14","S02002003","Inverness Scorguie","Highland","Attainment","Raw"
"173",4.35,"2011/12-2013/14","S02002002","Inverness Merkinch","Highland","Attainment","Raw"
"174",5.68,"2011/12-2013/14","S02002005","Inverness West Rural","Highland","Attainment","Raw"
"175",5.49,"2011/12-2013/14","S02002004","Inverness Kinmylies and South West","Highland","Attainment","Raw"
"176",5.66,"2011/12-2013/14","S02001984","Badenoch and Strathspey North","Highland","Attainment","Raw"
"177",5.47,"2011/12-2013/14","S02001983","Badenoch and Strathspey Central","Highland","Attainment","Raw"
"178",5.13,"2011/12-2013/14","S02001986","Nairn East","Highland","Attainment","Raw"
"179",5.64,"2011/12-2013/14","S02001985","Nairn Rural","Highland","Attainment","Raw"
"180",5.46,"2011/12-2013/14","S02001980","Fort William South","Highland","Attainment","Raw"
"181",5.39,"2011/12-2013/14","S02001979","Fort William North","Highland","Attainment","Raw"
"182",5.57,"2011/12-2013/14","S02001982","Badenoch and Strathspey South","Highland","Attainment","Raw"
"183",5.61,"2011/12-2013/14","S02001981","Lochaber East and North","Highland","Attainment","Raw"
"184",5.65,"2011/12-2013/14","S02001991","Inverness Westhill","Highland","Attainment","Raw"
"185",5.31,"2011/12-2013/14","S02001990","Inverness Smithton","Highland","Attainment","Raw"
"186",5.86,"2011/12-2013/14","S02001993","Inverness Slackbuie","Highland","Attainment","Raw"
"187",5.74,"2011/12-2013/14","S02001992","Inverness Inshes","Highland","Attainment","Raw"
"188",5.48,"2011/12-2013/14","S02001988","Inverness East Rural","Highland","Attainment","Raw"
"189",5.48,"2011/12-2013/14","S02001987","Nairn West","Highland","Attainment","Raw"
"190",5.62,"2011/12-2013/14","S02001989","Inverness Culloden and Balloch","Highland","Attainment","Raw"
"191",4.7,"2011/12-2013/14","S02001905","Central Easterhouse","Glasgow City","Attainment","Raw"
"192",4.82,"2011/12-2013/14","S02001904","Easterhouse East","Glasgow City","Attainment","Raw"
"193",4.61,"2011/12-2013/14","S02001907","North Barlanark and Easterhouse South","Glasgow City","Attainment","Raw"
"194",5.17,"2011/12-2013/14","S02001906","Garthamlock, Auchinlea and Gartloch","Glasgow City","Attainment","Raw"
"195",5.39,"2011/12-2013/14","S02001901","Baillieston East","Glasgow City","Attainment","Raw"
"196",5.12,"2011/12-2013/14","S02001900","Baillieston West","Glasgow City","Attainment","Raw"
"197",5.66,"2011/12-2013/14","S02001903","Garrowhill East and Swinton","Glasgow City","Attainment","Raw"
"198",5.58,"2011/12-2013/14","S02001902","Garrowhill West","Glasgow City","Attainment","Raw"
"199",5.38,"2011/12-2013/14","S02001913","Carntyne","Glasgow City","Attainment","Raw"
"200",4.77,"2011/12-2013/14","S02001912","Old Shettleston and Parkhead North","Glasgow City","Attainment","Raw"
"201",4.81,"2011/12-2013/14","S02001915","Craigend and Ruchazie","Glasgow City","Attainment","Raw"
"202",4.89,"2011/12-2013/14","S02001914","Cranhill, Lightburn and Queenslie South","Glasgow City","Attainment","Raw"
"203",5.35,"2011/12-2013/14","S02001909","Greenfield","Glasgow City","Attainment","Raw"
"204",4.9,"2011/12-2013/14","S02001908","Barlanark","Glasgow City","Attainment","Raw"
"205",4.9,"2011/12-2013/14","S02001911","Tollcross","Glasgow City","Attainment","Raw"
"206",5.25,"2011/12-2013/14","S02001910","Shettleston North","Glasgow City","Attainment","Raw"
"207",4.87,"2011/12-2013/14","S02001889","Gorbals and Hutchesontown","Glasgow City","Attainment","Raw"
"208",5.09,"2011/12-2013/14","S02001888","Toryglen and Oatlands","Glasgow City","Attainment","Raw"
"209",4.86,"2011/12-2013/14","S02001891","Calton and Gallowgate","Glasgow City","Attainment","Raw"
"210",4.59,"2011/12-2013/14","S02001890","Laurieston and Tradeston","Glasgow City","Attainment","Raw"
"211",5.6,"2011/12-2013/14","S02001885","Kingspark North","Glasgow City","Attainment","Raw"
"212",5.19,"2011/12-2013/14","S02001884","Kingspark South","Glasgow City","Attainment","Raw"
"213",5.68,"2011/12-2013/14","S02001887","Mount Florida","Glasgow City","Attainment","Raw"
"214",5.81,"2011/12-2013/14","S02001886","Cathcart","Glasgow City","Attainment","Raw"
"215",5.79,"2011/12-2013/14","S02001897","Shettleston South","Glasgow City","Attainment","Raw"
"216",5.05,"2011/12-2013/14","S02001896","Braidfauld","Glasgow City","Attainment","Raw"
"217",5.82,"2011/12-2013/14","S02001899","Mount Vernon North and Sandyhills","Glasgow City","Attainment","Raw"
"218",5.37,"2011/12-2013/14","S02001898","Carmyle and Mount Vernon South","Glasgow City","Attainment","Raw"
"219",4.96,"2011/12-2013/14","S02001893","Dalmarnock","Glasgow City","Attainment","Raw"
"220",4.7,"2011/12-2013/14","S02001892","Bridgeton","Glasgow City","Attainment","Raw"
"221",4.92,"2011/12-2013/14","S02001895","Parkhead East and Braidfauld North","Glasgow City","Attainment","Raw"
"222",4.67,"2011/12-2013/14","S02001894","Parkhead West and Barrowfield","Glasgow City","Attainment","Raw"
"223",5.25,"2011/12-2013/14","S02001936","Finnieston and Kelvinhaugh","Glasgow City","Attainment","Raw"
"224",5.2,"2011/12-2013/14","S02001935","Anderston","Glasgow City","Attainment","Raw"
"225",5.43,"2011/12-2013/14","S02001938","Woodside","Glasgow City","Attainment","Raw"
"226",5.61,"2011/12-2013/14","S02001937","Woodlands","Glasgow City","Attainment","Raw"
"227",4.96,"2011/12-2013/14","S02001932","City Centre East","Glasgow City","Attainment","Raw"
"228",4.85,"2011/12-2013/14","S02001931","Gallowgate North and Bellgrove","Glasgow City","Attainment","Raw"
"229",3.89,"2011/12-2013/14","S02001934","City Centre South","Glasgow City","Attainment","Raw"
"230",5.29,"2011/12-2013/14","S02001933","City Centre West","Glasgow City","Attainment","Raw"
"231",4.94,"2011/12-2013/14","S02001944","Milton East","Glasgow City","Attainment","Raw"
"232",4.97,"2011/12-2013/14","S02001943","Milton West","Glasgow City","Attainment","Raw"
"233",5.27,"2011/12-2013/14","S02001946","Summerston North","Glasgow City","Attainment","Raw"
"234",5.55,"2011/12-2013/14","S02001945","Summerston Central and West","Glasgow City","Attainment","Raw"
"235",4.8,"2011/12-2013/14","S02001940","Keppochhill","Glasgow City","Attainment","Raw"
"236",5.4,"2011/12-2013/14","S02001939","Firhill","Glasgow City","Attainment","Raw"
"237",4.88,"2011/12-2013/14","S02001942","Possil Park","Glasgow City","Attainment","Raw"
"238",5.34,"2011/12-2013/14","S02001941","Ruchill","Glasgow City","Attainment","Raw"
"239",5.05,"2011/12-2013/14","S02001921","Petershill","Glasgow City","Attainment","Raw"
"240",5.24,"2011/12-2013/14","S02001920","Barmulloch","Glasgow City","Attainment","Raw"
"241",5.09,"2011/12-2013/14","S02001923","Springburn East and Cowlairs","Glasgow City","Attainment","Raw"
"242",5.01,"2011/12-2013/14","S02001922","Springburn","Glasgow City","Attainment","Raw"
"243",5.09,"2011/12-2013/14","S02001917","Blackhill and Barmulloch East","Glasgow City","Attainment","Raw"
"244",4.97,"2011/12-2013/14","S02001916","Riddrie and Hogganfield","Glasgow City","Attainment","Raw"
"245",5.17,"2011/12-2013/14","S02001919","Balornock","Glasgow City","Attainment","Raw"
"246",5.69,"2011/12-2013/14","S02001918","Robroyston and Millerston","Glasgow City","Attainment","Raw"
"247",5.16,"2011/12-2013/14","S02001928","Alexandra Parade","Glasgow City","Attainment","Raw"
"248",5.36,"2011/12-2013/14","S02001927","Dennistoun North","Glasgow City","Attainment","Raw"
"249",5.22,"2011/12-2013/14","S02001930","Dennistoun","Glasgow City","Attainment","Raw"
