"","value","Year","IZCode","IZName","CPP","Indicator","Type"
"4377",5.48,"2014/15-2016/17","S02001303","Inverurie North","Aberdeenshire","Attainment","Raw"
"4378",5.77,"2014/15-2016/17","S02001306","Kintore","Aberdeenshire","Attainment","Raw"
"4379",5.72,"2014/15-2016/17","S02001305","Durno-Chapel of Garioch","Aberdeenshire","Attainment","Raw"
"4380",5.67,"2014/15-2016/17","S02001300","Cromar and Kildrummy","Aberdeenshire","Attainment","Raw"
"4381",5.97,"2014/15-2016/17","S02001299","Crathes and Torphins","Aberdeenshire","Attainment","Raw"
"4382",5.47,"2014/15-2016/17","S02001302","Kemnay","Aberdeenshire","Attainment","Raw"
"4383",5.84,"2014/15-2016/17","S02001301","Howe of Alford","Aberdeenshire","Attainment","Raw"
"4384",5.7,"2014/15-2016/17","S02001312","Balmedie and Potterton","Aberdeenshire","Attainment","Raw"
"4385",5.58,"2014/15-2016/17","S02001311","Newmachar and Fintray","Aberdeenshire","Attainment","Raw"
"4386",5.86,"2014/15-2016/17","S02001314","Ellon West","Aberdeenshire","Attainment","Raw"
"4387",5.65,"2014/15-2016/17","S02001313","Ellon East","Aberdeenshire","Attainment","Raw"
"4388",5.89,"2014/15-2016/17","S02001308","Westhill North and South","Aberdeenshire","Attainment","Raw"
"4389",5.72,"2014/15-2016/17","S02001307","Blackburn","Aberdeenshire","Attainment","Raw"
"4390",5.76,"2014/15-2016/17","S02001310","Garlogie and Elrick","Aberdeenshire","Attainment","Raw"
"4391",5.77,"2014/15-2016/17","S02001309","Westhill Central","Aberdeenshire","Attainment","Raw"
"4392",5.46,"2014/15-2016/17","S02001351","Arbroath Kirkton","Angus","Attainment","Raw"
"4393",5.83,"2014/15-2016/17","S02001350","Arbroath Landward","Angus","Attainment","Raw"
"4394",5.21,"2014/15-2016/17","S02001353","Arbroath Harbour","Angus","Attainment","Raw"
"4395",5.76,"2014/15-2016/17","S02001352","Arbroath Keptie","Angus","Attainment","Raw"
"4396",5.8,"2014/15-2016/17","S02001347","Monifieth East","Angus","Attainment","Raw"
"4397",5.76,"2014/15-2016/17","S02001346","Monifieth West","Angus","Attainment","Raw"
"4398",5.54,"2014/15-2016/17","S02001349","Carnoustie East","Angus","Attainment","Raw"
"4399",5.28,"2014/15-2016/17","S02001348","Carnoustie West","Angus","Attainment","Raw"
"4400",5.66,"2014/15-2016/17","S02001359","Hillside","Angus","Attainment","Raw"
"4401",5.57,"2014/15-2016/17","S02001358","Montrose North","Angus","Attainment","Raw"
"4402",5.3,"2014/15-2016/17","S02001361","Brechin East","Angus","Attainment","Raw"
"4403",5.64,"2014/15-2016/17","S02001360","Friockheim","Angus","Attainment","Raw"
"4404",5.31,"2014/15-2016/17","S02001355","Arbroath Warddykes","Angus","Attainment","Raw"
"4405",5.12,"2014/15-2016/17","S02001354","Arbroath Cliffburn","Angus","Attainment","Raw"
"4406",5.36,"2014/15-2016/17","S02001357","Montrose South","Angus","Attainment","Raw"
"4407",5.36,"2014/15-2016/17","S02001356","Lunan","Angus","Attainment","Raw"
"4408",4.9,"2014/15-2016/17","S02001336","Peterhead Harbour","Aberdeenshire","Attainment","Raw"
"4409",5.2,"2014/15-2016/17","S02001335","Peterhead Bay","Aberdeenshire","Attainment","Raw"
"4410",5.25,"2014/15-2016/17","S02001338","Longside and Rattray","Aberdeenshire","Attainment","Raw"
"4411",5.4,"2014/15-2016/17","S02001337","Peterhead Ugieside","Aberdeenshire","Attainment","Raw"
"4412",5.61,"2014/15-2016/17","S02001332","Auchnagatt","Aberdeenshire","Attainment","Raw"
"4413",5.35,"2014/15-2016/17","S02001331","Mintlaw","Aberdeenshire","Attainment","Raw"
"4414",5.32,"2014/15-2016/17","S02001334","Peterhead Links","Aberdeenshire","Attainment","Raw"
"4415",5.4,"2014/15-2016/17","S02001333","Cruden","Aberdeenshire","Attainment","Raw"
"4416",4.84,"2014/15-2016/17","S02001343","Fraserburgh Harbour and Broadsea","Aberdeenshire","Attainment","Raw"
"4417",5.3,"2014/15-2016/17","S02001342","Fraserburgh Central-Academy","Aberdeenshire","Attainment","Raw"
"4418",5.78,"2014/15-2016/17","S02001345","Monikie","Angus","Attainment","Raw"
"4419",5.94,"2014/15-2016/17","S02001344","South Angus","Angus","Attainment","Raw"
"4420",5.6,"2014/15-2016/17","S02001340","Fraserburgh Smiddyhill","Aberdeenshire","Attainment","Raw"
"4421",5.35,"2014/15-2016/17","S02001339","Rosehearty and Strathbeg","Aberdeenshire","Attainment","Raw"
"4422",5.22,"2014/15-2016/17","S02001341","Fraserburgh Lochpots","Aberdeenshire","Attainment","Raw"
"4423",5.07,"2014/15-2016/17","S02001257","Torry West","Aberdeen City","Attainment","Raw"
"4424",5.35,"2014/15-2016/17","S02001256","Cove North","Aberdeen City","Attainment","Raw"
"4425",5.08,"2014/15-2016/17","S02001259","Hanover South","Aberdeen City","Attainment","Raw"
"4426",4.82,"2014/15-2016/17","S02001258","Torry East","Aberdeen City","Attainment","Raw"
"4427",5.14,"2014/15-2016/17","S02001253","Kincorth, Leggart and Nigg North","Aberdeen City","Attainment","Raw"
"4428",5.82,"2014/15-2016/17","S02001252","Ferryhill South","Aberdeen City","Attainment","Raw"
"4429",5.7,"2014/15-2016/17","S02001255","Cove South","Aberdeen City","Attainment","Raw"
"4430",5.25,"2014/15-2016/17","S02001254","Kincorth, Leggart and Nigg South","Aberdeen City","Attainment","Raw"
"4431",4.92,"2014/15-2016/17","S02001265","Old Aberdeen","Aberdeen City","Attainment","Raw"
"4432",5.15,"2014/15-2016/17","S02001264","Seaton","Aberdeen City","Attainment","Raw"
"4433",4.86,"2014/15-2016/17","S02001267","Woodside","Aberdeen City","Attainment","Raw"
"4434",5.08,"2014/15-2016/17","S02001266","Tillydrone","Aberdeen City","Attainment","Raw"
"4435",5.18,"2014/15-2016/17","S02001261","George Street","Aberdeen City","Attainment","Raw"
"4436",4.81,"2014/15-2016/17","S02001260","Hanover North","Aberdeen City","Attainment","Raw"
"4437",4.73,"2014/15-2016/17","S02001263","Froghall, Powis and Sunnybank","Aberdeen City","Attainment","Raw"
"4438",5.26,"2014/15-2016/17","S02001262","Ashgrove","Aberdeen City","Attainment","Raw"
"4439",6.13,"2014/15-2016/17","S02001241","Braeside, Mannofield, Broomhill and Seafield South","Aberdeen City","Attainment","Raw"
"4440",5.84,"2014/15-2016/17","S02001240","Braeside, Mannofield, Broomhill and Seafield East","Aberdeen City","Attainment","Raw"
"4441",5.93,"2014/15-2016/17","S02001243","Hazlehead","Aberdeen City","Attainment","Raw"
"4442",5.94,"2014/15-2016/17","S02001242","Braeside, Mannofield, Broomhill and Seafield North","Aberdeen City","Attainment","Raw"
"4443",6.21,"2014/15-2016/17","S02001237","Cults, Bieldside and Milltimber West","Aberdeen City","Attainment","Raw"
"4444",5.8,"2014/15-2016/17","S02001236","Culter","Aberdeen City","Attainment","Raw"
"4445",5,"2014/15-2016/17","S02001239","Garthdee","Aberdeen City","Attainment","Raw"
"4446",6.41,"2014/15-2016/17","S02001238","Cults, Bieldside and Milltimber East","Aberdeen City","Attainment","Raw"
"4447",5.05,"2014/15-2016/17","S02001249","City Centre West","Aberdeen City","Attainment","Raw"
"4448",6.28,"2014/15-2016/17","S02001248","West End South","Aberdeen City","Attainment","Raw"
"4449",5.45,"2014/15-2016/17","S02001251","Ferryhill North","Aberdeen City","Attainment","Raw"
"4450",5.32,"2014/15-2016/17","S02001250","City Centre East","Aberdeen City","Attainment","Raw"
"4451",6.17,"2014/15-2016/17","S02001245","Midstocket","Aberdeen City","Attainment","Raw"
"4452",5.25,"2014/15-2016/17","S02001244","Summerhill","Aberdeen City","Attainment","Raw"
"4453",6.4,"2014/15-2016/17","S02001247","West End North","Aberdeen City","Attainment","Raw"
"4454",5.55,"2014/15-2016/17","S02001246","Rosemount","Aberdeen City","Attainment","Raw"
"4455",5.62,"2014/15-2016/17","S02001288","Mearns South and Benholm","Aberdeenshire","Attainment","Raw"
"4456",5.54,"2014/15-2016/17","S02001287","Mearns and Laurencekirk","Aberdeenshire","Attainment","Raw"
"4457",6.03,"2014/15-2016/17","S02001290","Fetteresso, Netherley and Catter","Aberdeenshire","Attainment","Raw"
"4458",5.74,"2014/15-2016/17","S02001289","Mearns North and Inverbervie","Aberdeenshire","Attainment","Raw"
"4459",5.78,"2014/15-2016/17","S02001284","Denmore","Aberdeen City","Attainment","Raw"
"4460",5.84,"2014/15-2016/17","S02001283","Balgownie and Donmouth East","Aberdeen City","Attainment","Raw"
"4461",5.8,"2014/15-2016/17","S02001286","Aboyne and South Deeside","Aberdeenshire","Attainment","Raw"
"4462",5.49,"2014/15-2016/17","S02001285","East Cairngorms","Aberdeenshire","Attainment","Raw"
"4463",5.95,"2014/15-2016/17","S02001296","Dunecht, Durris and Drumoak","Aberdeenshire","Attainment","Raw"
"4464",5.57,"2014/15-2016/17","S02001295","Banchory-Devenick and Findon","Aberdeenshire","Attainment","Raw"
"4465",6.25,"2014/15-2016/17","S02001298","Banchory West","Aberdeenshire","Attainment","Raw"
"4466",6.02,"2014/15-2016/17","S02001297","Banchory East","Aberdeenshire","Attainment","Raw"
"4467",5.89,"2014/15-2016/17","S02001292","Stonehaven North","Aberdeenshire","Attainment","Raw"
"4468",5.86,"2014/15-2016/17","S02001291","Stonehaven South","Aberdeenshire","Attainment","Raw"
"4469",5.85,"2014/15-2016/17","S02001294","Portlethen","Aberdeenshire","Attainment","Raw"
"4470",5.78,"2014/15-2016/17","S02001293","Newtonhill","Aberdeenshire","Attainment","Raw"
"4471",4.89,"2014/15-2016/17","S02001273","Northfield","Aberdeen City","Attainment","Raw"
"4472",4.89,"2014/15-2016/17","S02001272","Cummings Park","Aberdeen City","Attainment","Raw"
"4473",5.99,"2014/15-2016/17","S02001275","Kingswells","Aberdeen City","Attainment","Raw"
"4474",4.75,"2014/15-2016/17","S02001274","Heathryfold and Middlefield","Aberdeen City","Attainment","Raw"
"4475",5.07,"2014/15-2016/17","S02001269","Stockethill","Aberdeen City","Attainment","Raw"
"4476",5.67,"2014/15-2016/17","S02001268","Hilton","Aberdeen City","Attainment","Raw"
"4477",5.11,"2014/15-2016/17","S02001271","Sheddocksley","Aberdeen City","Attainment","Raw"
"4478",5.06,"2014/15-2016/17","S02001270","Mastrick","Aberdeen City","Attainment","Raw"
"4479",5.76,"2014/15-2016/17","S02001280","Oldmachar West","Aberdeen City","Attainment","Raw"
"4480",5.73,"2014/15-2016/17","S02001279","Danestone","Aberdeen City","Attainment","Raw"
"4481",5.64,"2014/15-2016/17","S02001282","Balgownie and Donmouth West","Aberdeen City","Attainment","Raw"
"4482",5.69,"2014/15-2016/17","S02001281","Oldmachar East","Aberdeen City","Attainment","Raw"
"4483",5.24,"2014/15-2016/17","S02001277","Bucksburn North","Aberdeen City","Attainment","Raw"
"4484",5.15,"2014/15-2016/17","S02001276","Bucksburn South","Aberdeen City","Attainment","Raw"
"4485",5.3,"2014/15-2016/17","S02001278","Dyce","Aberdeen City","Attainment","Raw"
"4486",5.44,"2014/15-2016/17","S02001446","Perth Road","Dundee City","Attainment","Raw"
"4487",6,"2014/15-2016/17","S02001445","Westend","Dundee City","Attainment","Raw"
"4488",5.3,"2014/15-2016/17","S02001448","City Centre","Dundee City","Attainment","Raw"
"4489",5.56,"2014/15-2016/17","S02001447","Logie and Blackness","Dundee City","Attainment","Raw"
"4490",5.17,"2014/15-2016/17","S02001442","Annan East","Dumfries and Galloway","Attainment","Raw"
"4491",5.34,"2014/15-2016/17","S02001441","Annan West","Dumfries and Galloway","Attainment","Raw"
"4492",5.2,"2014/15-2016/17","S02001444","Gretna","Dumfries and Galloway","Attainment","Raw"
"4493",5.61,"2014/15-2016/17","S02001443","Eastriggs","Dumfries and Galloway","Attainment","Raw"
"4494",5.66,"2014/15-2016/17","S02001454","Craigie and  Craigiebank","Dundee City","Attainment","Raw"
"4495",5.58,"2014/15-2016/17","S02001453","Baxter Park","Dundee City","Attainment","Raw"
"4496",5.93,"2014/15-2016/17","S02001456","West Ferry","Dundee City","Attainment","Raw"
"4497",4.83,"2014/15-2016/17","S02001455","Douglas West","Dundee City","Attainment","Raw"
"4498",4.85,"2014/15-2016/17","S02001450","Hilltown","Dundee City","Attainment","Raw"
"4499",4.98,"2014/15-2016/17","S02001449","Docks and Wellgate","Dundee City","Attainment","Raw"
"4500",4.29,"2014/15-2016/17","S02001452","Stobswell","Dundee City","Attainment","Raw"
"4501",4.82,"2014/15-2016/17","S02001451","The Glens","Dundee City","Attainment","Raw"
"4502",5.34,"2014/15-2016/17","S02001430","Dumfries Central","Dumfries and Galloway","Attainment","Raw"
"4503",5.93,"2014/15-2016/17","S02001429","Georgetown","Dumfries and Galloway","Attainment","Raw"
"4504",5.32,"2014/15-2016/17","S02001432","Locharbriggs","Dumfries and Galloway","Attainment","Raw"
"4505",5.91,"2014/15-2016/17","S02001431","Nunholm","Dumfries and Galloway","Attainment","Raw"
"4506",5.72,"2014/15-2016/17","S02001426","New Abbey","Dumfries and Galloway","Attainment","Raw"
"4507",5.75,"2014/15-2016/17","S02001425","Troqueer","Dumfries and Galloway","Attainment","Raw"
"4508",5.92,"2014/15-2016/17","S02001428","Calside","Dumfries and Galloway","Attainment","Raw"
"4509",5.77,"2014/15-2016/17","S02001427","Kingholm","Dumfries and Galloway","Attainment","Raw"
"4510",5.86,"2014/15-2016/17","S02001438","Langholm and Eskdale","Dumfries and Galloway","Attainment","Raw"
"4511",5.69,"2014/15-2016/17","S02001437","Moffat","Dumfries and Galloway","Attainment","Raw"
"4512",5.53,"2014/15-2016/17","S02001440","Annandale West","Dumfries and Galloway","Attainment","Raw"
"4513",5.74,"2014/15-2016/17","S02001439","Annandale East","Dumfries and Galloway","Attainment","Raw"
"4514",5.81,"2014/15-2016/17","S02001434","Collin","Dumfries and Galloway","Attainment","Raw"
"4515",5.9,"2014/15-2016/17","S02001433","Heathhall","Dumfries and Galloway","Attainment","Raw"
"4516",5.53,"2014/15-2016/17","S02001436","Lockerbie","Dumfries and Galloway","Attainment","Raw"
"4517",5.79,"2014/15-2016/17","S02001435","Lochmaben","Dumfries and Galloway","Attainment","Raw"
"4518",5.16,"2014/15-2016/17","S02001477","Doon Valley North","East Ayrshire","Attainment","Raw"
"4519",5.13,"2014/15-2016/17","S02001476","Doon Valley South","East Ayrshire","Attainment","Raw"
"4520",5.23,"2014/15-2016/17","S02001479","Drongan","East Ayrshire","Attainment","Raw"
"4521",5.53,"2014/15-2016/17","S02001478","Mauchline Rural","East Ayrshire","Attainment","Raw"
"4522",4.46,"2014/15-2016/17","S02001473","Lochee","Dundee City","Attainment","Raw"
"4523",4.98,"2014/15-2016/17","S02001472","Charleston","Dundee City","Attainment","Raw"
"4524",5.97,"2014/15-2016/17","S02001475","Western Edge","Dundee City","Attainment","Raw"
"4525",4.81,"2014/15-2016/17","S02001474","Ardler and St Marys","Dundee City","Attainment","Raw"
"4526",5.09,"2014/15-2016/17","S02001485","Auchinleck","East Ayrshire","Attainment","Raw"
"4527",5.36,"2014/15-2016/17","S02001484","Cumnock North","East Ayrshire","Attainment","Raw"
"4528",5.82,"2014/15-2016/17","S02001487","Stewarton East","East Ayrshire","Attainment","Raw"
"4529",5.93,"2014/15-2016/17","S02001486","Northern and Irvine Valley Rural","East Ayrshire","Attainment","Raw"
"4530",5.37,"2014/15-2016/17","S02001481","Cumnock Rural","East Ayrshire","Attainment","Raw"
"4531",5.6,"2014/15-2016/17","S02001480","Mauchline","East Ayrshire","Attainment","Raw"
"4532",5.23,"2014/15-2016/17","S02001483","Cumnock South and Craigens","East Ayrshire","Attainment","Raw"
"4533",5.26,"2014/15-2016/17","S02001482","New Cumnock","East Ayrshire","Attainment","Raw"
"4534",4.64,"2014/15-2016/17","S02001462","Whitfield","Dundee City","Attainment","Raw"
"4535",5.8,"2014/15-2016/17","S02001461","West Pitkerro","Dundee City","Attainment","Raw"
"4536",4.39,"2014/15-2016/17","S02001464","Linlathen and Midcraigie","Dundee City","Attainment","Raw"
"4537",5.03,"2014/15-2016/17","S02001463","Fintry","Dundee City","Attainment","Raw"
"4538",5.96,"2014/15-2016/17","S02001458","Broughty Ferry West","Dundee City","Attainment","Raw"
"4539",5.07,"2014/15-2016/17","S02001457","Douglas East","Dundee City","Attainment","Raw"
"4540",5.97,"2014/15-2016/17","S02001460","Barnhill","Dundee City","Attainment","Raw"
"4541",6.01,"2014/15-2016/17","S02001459","Broughty Ferry East","Dundee City","Attainment","Raw"
"4542",5.01,"2014/15-2016/17","S02001469","Law","Dundee City","Attainment","Raw"
"4543",5.42,"2014/15-2016/17","S02001468","Fairmuir","Dundee City","Attainment","Raw"
"4544",4.9,"2014/15-2016/17","S02001471","Menzieshill","Dundee City","Attainment","Raw"
"4545",5.63,"2014/15-2016/17","S02001470","Balgay","Dundee City","Attainment","Raw"
"4546",4.75,"2014/15-2016/17","S02001466","Kirkton","Dundee City","Attainment","Raw"
"4547",4.95,"2014/15-2016/17","S02001465","Caird Park","Dundee City","Attainment","Raw"
"4548",5.21,"2014/15-2016/17","S02001467","Downfield","Dundee City","Attainment","Raw"
"4549",5.28,"2014/15-2016/17","S02001383","Cowal South","Argyll and Bute","Attainment","Raw"
"4550",5.29,"2014/15-2016/17","S02001382","Rothesay Town","Argyll and Bute","Attainment","Raw"
"4551",5.55,"2014/15-2016/17","S02001385","Hunter's Quay","Argyll and Bute","Attainment","Raw"
"4552",5.82,"2014/15-2016/17","S02001384","Cowal North","Argyll and Bute","Attainment","Raw"
"4553",5.7,"2014/15-2016/17","S02001379","Kintyre Trail","Argyll and Bute","Attainment","Raw"
"4554",5.73,"2014/15-2016/17","S02001378","Whisky Isles","Argyll and Bute","Attainment","Raw"
"4555",5.71,"2014/15-2016/17","S02001381","Bute","Argyll and Bute","Attainment","Raw"
"4556",5.4,"2014/15-2016/17","S02001380","Campbeltown","Argyll and Bute","Attainment","Raw"
"4557",5.58,"2014/15-2016/17","S02001391","Helensburgh East","Argyll and Bute","Attainment","Raw"
"4558",5.47,"2014/15-2016/17","S02001390","Helensburgh Centre","Argyll and Bute","Attainment","Raw"
"4559",5.45,"2014/15-2016/17","S02001393","Tullibody South","Clackmannanshire","Attainment","Raw"
"4560",5.81,"2014/15-2016/17","S02001392","Lomond Shore","Argyll and Bute","Attainment","Raw"
"4561",5.51,"2014/15-2016/17","S02001387","Garelochhead","Argyll and Bute","Attainment","Raw"
"4562",5.57,"2014/15-2016/17","S02001386","Dunoon","Argyll and Bute","Attainment","Raw"
"4563",5.89,"2014/15-2016/17","S02001389","Helensburgh North","Argyll and Bute","Attainment","Raw"
"4564",5.88,"2014/15-2016/17","S02001388","Helensburgh West and Rhu","Argyll and Bute","Attainment","Raw"
"4565",5.6,"2014/15-2016/17","S02001367","Kirriemuir Landward","Angus","Attainment","Raw"
"4566",5.3,"2014/15-2016/17","S02001366","Forfar West","Angus","Attainment","Raw"
"4567",5.79,"2014/15-2016/17","S02001369","Angus Glens","Angus","Attainment","Raw"
"4568",5.68,"2014/15-2016/17","S02001368","Kirriemuir","Angus","Attainment","Raw"
"4569",5.85,"2014/15-2016/17","S02001363","Letham and Glamis","Angus","Attainment","Raw"
"4570",5.58,"2014/15-2016/17","S02001362","Brechin West","Angus","Attainment","Raw"
"4571",5.3,"2014/15-2016/17","S02001365","Forfar Central","Angus","Attainment","Raw"
"4572",5.44,"2014/15-2016/17","S02001364","Forfar East","Angus","Attainment","Raw"
"4573",5.52,"2014/15-2016/17","S02001375","Mid Argyll","Argyll and Bute","Attainment","Raw"
"4574",5.56,"2014/15-2016/17","S02001374","Loch Awe","Argyll and Bute","Attainment","Raw"
"4575",5.57,"2014/15-2016/17","S02001377","Knapdale","Argyll and Bute","Attainment","Raw"
"4576",5.62,"2014/15-2016/17","S02001376","Greater Lochgilphead","Argyll and Bute","Attainment","Raw"
"4577",5.3,"2014/15-2016/17","S02001371","Oban South","Argyll and Bute","Attainment","Raw"
"4578",5.9,"2014/15-2016/17","S02001370","Mull, Iona, Coll and Tiree","Argyll and Bute","Attainment","Raw"
"4579",5.6,"2014/15-2016/17","S02001373","Benderloch Trail","Argyll and Bute","Attainment","Raw"
"4580",5.45,"2014/15-2016/17","S02001372","Oban North","Argyll and Bute","Attainment","Raw"
"4581",5.89,"2014/15-2016/17","S02001414","Kirkcudbright","Dumfries and Galloway","Attainment","Raw"
"4582",5.55,"2014/15-2016/17","S02001413","Gatehouse","Dumfries and Galloway","Attainment","Raw"
"4583",5.7,"2014/15-2016/17","S02001416","Dalbeattie","Dumfries and Galloway","Attainment","Raw"
"4584",5.71,"2014/15-2016/17","S02001415","Castle Douglas","Dumfries and Galloway","Attainment","Raw"
"4585",5.59,"2014/15-2016/17","S02001410","Machars North","Dumfries and Galloway","Attainment","Raw"
"4586",5.27,"2014/15-2016/17","S02001409","Rhins South","Dumfries and Galloway","Attainment","Raw"
"4587",5.65,"2014/15-2016/17","S02001412","Newton Stewart","Dumfries and Galloway","Attainment","Raw"
"4588",5.77,"2014/15-2016/17","S02001411","Machars South","Dumfries and Galloway","Attainment","Raw"
"4589",5.74,"2014/15-2016/17","S02001422","Shawhead","Dumfries and Galloway","Attainment","Raw"
"4590",5.64,"2014/15-2016/17","S02001421","Mid Nithsdale","Dumfries and Galloway","Attainment","Raw"
"4591",5.26,"2014/15-2016/17","S02001424","Summerville","Dumfries and Galloway","Attainment","Raw"
"4592",4.76,"2014/15-2016/17","S02001423","Lochside and Lincluden","Dumfries and Galloway","Attainment","Raw"
"4593",5.82,"2014/15-2016/17","S02001418","Glenkens","Dumfries and Galloway","Attainment","Raw"
"4594",6.11,"2014/15-2016/17","S02001417","Dalbeattie Rural","Dumfries and Galloway","Attainment","Raw"
"4595",5.95,"2014/15-2016/17","S02001420","Thornhill","Dumfries and Galloway","Attainment","Raw"
"4596",5.46,"2014/15-2016/17","S02001419","Upper Nithsdale","Dumfries and Galloway","Attainment","Raw"
"4597",6.05,"2014/15-2016/17","S02001399","Dollar and Muckhart","Clackmannanshire","Attainment","Raw"
"4598",5.63,"2014/15-2016/17","S02001398","Tillicoultry","Clackmannanshire","Attainment","Raw"
"4599",5.2,"2014/15-2016/17","S02001401","Sauchie","Clackmannanshire","Attainment","Raw"
"4600",5.37,"2014/15-2016/17","S02001400","Clackmannan, Kennet and Forestmill","Clackmannanshire","Attainment","Raw"
"4601",5.66,"2014/15-2016/17","S02001395","Menstrie","Clackmannanshire","Attainment","Raw"
"4602",5.13,"2014/15-2016/17","S02001394","Tullibody North and Glenochil","Clackmannanshire","Attainment","Raw"
"4603",5.19,"2014/15-2016/17","S02001397","Fishcross, Devon Village and Coalsnaughton","Clackmannanshire","Attainment","Raw"
"4604",5.67,"2014/15-2016/17","S02001396","Alva","Clackmannanshire","Attainment","Raw"
"4605",5.36,"2014/15-2016/17","S02001406","Stranraer East","Dumfries and Galloway","Attainment","Raw"
"4606",5.26,"2014/15-2016/17","S02001405","Stranraer West","Dumfries and Galloway","Attainment","Raw"
"4607",5.52,"2014/15-2016/17","S02001408","Rhins North","Dumfries and Galloway","Attainment","Raw"
"4608",5.37,"2014/15-2016/17","S02001407","Stranraer South","Dumfries and Galloway","Attainment","Raw"
"4609",5.42,"2014/15-2016/17","S02001403","Alloa North","Clackmannanshire","Attainment","Raw"
"4610",4.52,"2014/15-2016/17","S02001402","Alloa South and East","Clackmannanshire","Attainment","Raw"
"4611",5.61,"2014/15-2016/17","S02001404","Alloa West","Clackmannanshire","Attainment","Raw"
"4612",5.55,"2014/15-2016/17","S02002077","Cullen, Portknockie, Findochty, Drybridge and Berryhillock","Moray","Attainment","Raw"
"4613",5.23,"2014/15-2016/17","S02002076","Keith and Fife Keith","Moray","Attainment","Raw"
"4614",5.68,"2014/15-2016/17","S02002079","Buckie West and Mains of Buckie","Moray","Attainment","Raw"
"4615",5.44,"2014/15-2016/17","S02002078","Buckie Central East","Moray","Attainment","Raw"
"4616",5.32,"2014/15-2016/17","S02002073","South Speyside and the Cabrach","Moray","Attainment","Raw"
"4617",5.21,"2014/15-2016/17","S02002072","Gorebridge and Middleton","Midlothian","Attainment","Raw"
"4618",5.4,"2014/15-2016/17","S02002075","Rural Keith and Strathisla","Moray","Attainment","Raw"
"4619",5.53,"2014/15-2016/17","S02002074","North Speyside","Moray","Attainment","Raw"
"4620",4.97,"2014/15-2016/17","S02002085","New Elgin East","Moray","Attainment","Raw"
"4621",5.09,"2014/15-2016/17","S02002084","Elgin Cathedral to Ashgrove and Pinefield","Moray","Attainment","Raw"
"4622",6.19,"2014/15-2016/17","S02002087","Elgin Central West","Moray","Attainment","Raw"
"4623",5.46,"2014/15-2016/17","S02002086","New Elgin West","Moray","Attainment","Raw"
"4624",5.46,"2014/15-2016/17","S02002081","Fochabers, Aultmore, Clochan and Ordiquish","Moray","Attainment","Raw"
"4625",5.67,"2014/15-2016/17","S02002080","Mosstodloch, Portgordon and seaward","Moray","Attainment","Raw"
"4626",5.59,"2014/15-2016/17","S02002083","Lhanbryde, Urquhart, Pitgavney and seaward","Moray","Attainment","Raw"
"4627",5.61,"2014/15-2016/17","S02002082","Heldon West, Fogwatt to Inchberry","Moray","Attainment","Raw"
"4628",5.49,"2014/15-2016/17","S02002061","Bonnyrigg North","Midlothian","Attainment","Raw"
"4629",5.5,"2014/15-2016/17","S02002060","Bonnyrigg South","Midlothian","Attainment","Raw"
"4630",6.22,"2014/15-2016/17","S02002063","Eskbank","Midlothian","Attainment","Raw"
"4631",5.62,"2014/15-2016/17","S02002062","Newbattle and Dalhousie","Midlothian","Attainment","Raw"
"4632",5.67,"2014/15-2016/17","S02002057","Roslin and Bilston","Midlothian","Attainment","Raw"
"4633",5.95,"2014/15-2016/17","S02002056","Pentland","Midlothian","Attainment","Raw"
"4634",5.33,"2014/15-2016/17","S02002059","Loanhead","Midlothian","Attainment","Raw"
"4635",5.31,"2014/15-2016/17","S02002058","Straiton","Midlothian","Attainment","Raw"
"4636",5.1,"2014/15-2016/17","S02002069","Mayfield","Midlothian","Attainment","Raw"
"4637",4.99,"2014/15-2016/17","S02002068","Easthouses","Midlothian","Attainment","Raw"
"4638",5.15,"2014/15-2016/17","S02002071","North Gorebridge","Midlothian","Attainment","Raw"
"4639",5.04,"2014/15-2016/17","S02002070","Newtongrange","Midlothian","Attainment","Raw"
"4640",5.05,"2014/15-2016/17","S02002065","Thornybank","Midlothian","Attainment","Raw"
"4641",5.31,"2014/15-2016/17","S02002064","Shawfair","Midlothian","Attainment","Raw"
"4642",5.56,"2014/15-2016/17","S02002067","Pathhead and Rural East Midlothian","Midlothian","Attainment","Raw"
"4643",4.91,"2014/15-2016/17","S02002066","Dalkeith","Midlothian","Attainment","Raw"
"4644",4.98,"2014/15-2016/17","S02002109","Irvine Fullarton","North Ayrshire","Attainment","Raw"
"4645",4.94,"2014/15-2016/17","S02002108","Irvine Central","North Ayrshire","Attainment","Raw"
"4646",5.26,"2014/15-2016/17","S02002111","Saltcoats Central","North Ayrshire","Attainment","Raw"
"4647",5.19,"2014/15-2016/17","S02002110","Stevenston Ardeer","North Ayrshire","Attainment","Raw"
"4648",5.21,"2014/15-2016/17","S02002105","Irvine Castlepark North","North Ayrshire","Attainment","Raw"
"4649",5.7,"2014/15-2016/17","S02002104","Irvine Perceton and Lawthorn","North Ayrshire","Attainment","Raw"
"4650",5.41,"2014/15-2016/17","S02002107","Irvine East","North Ayrshire","Attainment","Raw"
"4651",5.12,"2014/15-2016/17","S02002106","Irvine Castlepark South","North Ayrshire","Attainment","Raw"
"4652",5.26,"2014/15-2016/17","S02002117","Stevenston North West","North Ayrshire","Attainment","Raw"
"4653",5.38,"2014/15-2016/17","S02002116","Saltcoats North East","North Ayrshire","Attainment","Raw"
