"","Year","CA","Value","CPP","FG","Indicator","Type"
"172","2013/14","S12000021",89.1129032258064,"North Ayrshire",4,"Healthy Birthweight","Raw"
"173","2013/14","S12000023",91.1111111111111,"Orkney Islands",1,"Healthy Birthweight","Raw"
"174","2013/14","S12000026",89.7435897435898,"Scottish Borders",2,"Healthy Birthweight","Raw"
"175","2013/14","S12000027",90.7894736842105,"Shetland Islands",1,"Healthy Birthweight","Raw"
"176","2013/14","S12000028",88.9237199582027,"South Ayrshire",3,"Healthy Birthweight","Raw"
"177","2013/14","S12000029",90.3446033810143,"South Lanarkshire",3,"Healthy Birthweight","Raw"
"178","2013/14","S12000030",87.7450980392157,"Stirling",2,"Healthy Birthweight","Raw"
"179","2013/14","S12000033",90.1852581789515,"Aberdeen City",1,"Healthy Birthweight","Raw"
"180","2013/14","S12000034",89.5719844357977,"Aberdeenshire",1,"Healthy Birthweight","Raw"
"181","2013/14","S12000035",86.046511627907,"Argyll and Bute",2,"Healthy Birthweight","Raw"
"182","2013/14","S12000036",90.8144958736993,"Edinburgh, City of",1,"Healthy Birthweight","Raw"
"183","2013/14","S12000038",89.1764705882353,"Renfrewshire",3,"Healthy Birthweight","Raw"
"184","2013/14","S12000039",87.089715536105,"West Dunbartonshire",4,"Healthy Birthweight","Raw"
"185","2013/14","S12000040",90.8174097664543,"West Lothian",3,"Healthy Birthweight","Raw"
"186","2013/14","S12000041",89.5454545454545,"Angus",2,"Healthy Birthweight","Raw"
"187","2013/14","S12000042",90.150032615786,"Dundee City",4,"Healthy Birthweight","Raw"
"188","2013/14","S12000045",87.8125,"East Dunbartonshire",1,"Healthy Birthweight","Raw"
"189","2013/14","S12000047",88.2290562036055,"Fife",3,"Healthy Birthweight","Raw"
"190","2013/14","S12000048",88.5556432517758,"Perth and Kinross",1,"Healthy Birthweight","Raw"
"191","2013/14","S12000049",89.6694214876033,"Glasgow City",4,"Healthy Birthweight","Raw"
"192","2013/14","S12000050",89.7301762114538,"North Lanarkshire",4,"Healthy Birthweight","Raw"
"193","2014/15","S12000005",88.8675623800384,"Clackmannanshire",3,"Healthy Birthweight","Raw"
"194","2014/15","S12000006",91.2933220625528,"Dumfries and Galloway",3,"Healthy Birthweight","Raw"
"195","2014/15","S12000008",89.5920066611157,"East Ayrshire",4,"Healthy Birthweight","Raw"
