"","CPP","Year","value","Indicator","Type"
"137","Highland",2014,73701,"Out of Work Benefits","Raw"
"138","Highland",2015,74060,"Out of Work Benefits","Raw"
"139","Highland",2016,74250,"Out of Work Benefits","Raw"
"140","Highland",2017,74787,"Out of Work Benefits","Raw"
"141","Highland",2018,75720,"Out of Work Benefits","Raw"
"142","Highland",2019,75440,"Out of Work Benefits","Raw"
"143","Highland",2020,84077,"Out of Work Benefits","Raw"
"144","Highland",2021,83867,"Out of Work Benefits","Raw"
"145","Inverclyde",2013,30799,"Out of Work Benefits","Raw"
"146","Inverclyde",2014,30160,"Out of Work Benefits","Raw"
"147","Inverclyde",2015,29738,"Out of Work Benefits","Raw"
"148","Inverclyde",2016,29717,"Out of Work Benefits","Raw"
"149","Inverclyde",2017,29709,"Out of Work Benefits","Raw"
"150","Inverclyde",2018,30010,"Out of Work Benefits","Raw"
"151","Inverclyde",2019,29648,"Out of Work Benefits","Raw"
"152","Inverclyde",2020,31501,"Out of Work Benefits","Raw"
"153","Inverclyde",2021,31586,"Out of Work Benefits","Raw"
"154","Midlothian",2013,27752,"Out of Work Benefits","Raw"
"155","Midlothian",2014,27509,"Out of Work Benefits","Raw"
"156","Midlothian",2015,27394,"Out of Work Benefits","Raw"
"157","Midlothian",2016,27652,"Out of Work Benefits","Raw"
"158","Midlothian",2017,27518,"Out of Work Benefits","Raw"
"159","Midlothian",2018,28292,"Out of Work Benefits","Raw"
"160","Midlothian",2019,28035,"Out of Work Benefits","Raw"
"161","Midlothian",2020,31493,"Out of Work Benefits","Raw"
"162","Midlothian",2021,31386,"Out of Work Benefits","Raw"
"163","Moray",2013,28114,"Out of Work Benefits","Raw"
"164","Moray",2014,27862,"Out of Work Benefits","Raw"
"165","Moray",2015,28036,"Out of Work Benefits","Raw"
"166","Moray",2016,28330,"Out of Work Benefits","Raw"
"167","Moray",2017,28438,"Out of Work Benefits","Raw"
"168","Moray",2018,28271,"Out of Work Benefits","Raw"
"169","Moray",2019,28559,"Out of Work Benefits","Raw"
"170","Moray",2020,31284,"Out of Work Benefits","Raw"
"171","Moray",2021,31740,"Out of Work Benefits","Raw"
"172","Na h-Eileanan Siar",2013,9271,"Out of Work Benefits","Raw"
"173","Na h-Eileanan Siar",2014,9122,"Out of Work Benefits","Raw"
"174","Na h-Eileanan Siar",2015,9055,"Out of Work Benefits","Raw"
"175","Na h-Eileanan Siar",2016,9055,"Out of Work Benefits","Raw"
"176","Na h-Eileanan Siar",2017,8944,"Out of Work Benefits","Raw"
"177","Na h-Eileanan Siar",2018,8829,"Out of Work Benefits","Raw"
"178","Na h-Eileanan Siar",2019,8807,"Out of Work Benefits","Raw"
"179","Na h-Eileanan Siar",2020,9571,"Out of Work Benefits","Raw"
"180","Na h-Eileanan Siar",2021,9552,"Out of Work Benefits","Raw"
"181","North Ayrshire",2013,52963,"Out of Work Benefits","Raw"
"182","North Ayrshire",2014,52229,"Out of Work Benefits","Raw"
"183","North Ayrshire",2015,51951,"Out of Work Benefits","Raw"
"184","North Ayrshire",2016,52219,"Out of Work Benefits","Raw"
