"","FinancialYear","CA","AllLiveBirths","AppropriateWeightCount","AppropriateWeightProportion"
"173","2013/14","S12000023",180,164,91.1111111111111
"174","2013/14","S12000026",1014,910,89.7435897435898
"175","2013/14","S12000027",228,207,90.7894736842105
"176","2013/14","S12000028",957,851,88.9237199582027
"177","2013/14","S12000029",3076,2779,90.3446033810143
"178","2013/14","S12000030",816,716,87.7450980392157
"179","2013/14","S12000033",2537,2288,90.1852581789515
"180","2013/14","S12000034",2570,2302,89.5719844357977
"181","2013/14","S12000035",688,592,86.046511627907
"182","2013/14","S12000036",5574,5062,90.8144958736993
"183","2013/14","S12000038",1700,1516,89.1764705882353
"184","2013/14","S12000039",914,796,87.089715536105
"185","2013/14","S12000040",1884,1711,90.8174097664543
"186","2013/14","S12000041",1100,985,89.5454545454545
"187","2013/14","S12000042",1533,1382,90.150032615786
"188","2013/14","S12000045",960,843,87.8125
"189","2013/14","S12000047",3772,3328,88.2290562036055
"190","2013/14","S12000048",1267,1122,88.5556432517758
"191","2013/14","S12000049",6534,5859,89.6694214876033
"192","2013/14","S12000050",3632,3259,89.7301762114538
"193","2014/15","S12000005",521,463,88.8675623800384
"194","2014/15","S12000006",1183,1080,91.2933220625528
"195","2014/15","S12000008",1201,1076,89.5920066611157
"196","2014/15","S12000010",985,888,90.1522842639594
"197","2014/15","S12000011",837,737,88.05256869773
"198","2014/15","S12000013",199,174,87.4371859296482
"199","2014/15","S12000014",1649,1480,89.7513644633111
"200","2014/15","S12000017",2194,1943,88.559708295351
"201","2014/15","S12000018",693,625,90.1875901875902
"202","2014/15","S12000019",992,890,89.7177419354839
"203","2014/15","S12000020",842,758,90.0237529691211
"204","2014/15","S12000021",1238,1105,89.2568659127625
"205","2014/15","S12000023",170,155,91.1764705882353
"206","2014/15","S12000026",888,797,89.7522522522522
"207","2014/15","S12000027",242,214,88.4297520661157
"208","2014/15","S12000028",1019,912,89.4995093228655
"209","2014/15","S12000029",3299,2958,89.663534404365
"210","2014/15","S12000030",764,675,88.3507853403141
"211","2014/15","S12000033",2669,2390,89.5466466841514
"212","2014/15","S12000034",2530,2276,89.9604743083004
"213","2014/15","S12000035",657,573,87.2146118721461
"214","2014/15","S12000036",5137,4637,90.266692622153
"215","2014/15","S12000038",1632,1459,89.3995098039216
"216","2014/15","S12000039",914,793,86.7614879649891
"217","2014/15","S12000040",1907,1720,90.1940220241217
"218","2014/15","S12000041",1096,987,90.0547445255474
"219","2014/15","S12000042",1639,1455,88.7736424649176
"220","2014/15","S12000045",906,797,87.9690949227373
"221","2014/15","S12000047",3669,3239,88.280185336604
"222","2014/15","S12000048",1339,1181,88.2001493651979
"223","2014/15","S12000049",7009,6259,89.2994721072906
"224","2014/15","S12000050",3559,3154,88.6203989884799
"225","2015/16","S12000005",529,477,90.1701323251418
"226","2015/16","S12000006",1238,1110,89.6607431340872
"227","2015/16","S12000008",1241,1116,89.9274778404512
"228","2015/16","S12000010",1010,902,89.3069306930693
"229","2015/16","S12000011",845,749,88.6390532544379
"230","2015/16","S12000013",219,195,89.041095890411
"231","2015/16","S12000014",1550,1397,90.1290322580645
"232","2015/16","S12000017",2110,1890,89.5734597156398
"233","2015/16","S12000018",671,592,88.2265275707899
